owner,owner_flag,status,status_flag,pipe_type,pipe_type_flag,width,width_flag,ds_width,ds_width_flag,pipe_material,pipe_material_flag,ds_pipe_material,ds_pipe_material_flag,lining_type,lining_type_flag,ds_lining_type,ds_lining_type_flag,lining_material,lining_material_flag,ds_lining_material,ds_lining_material_flag,length,length_flag,current_value,current_value_flag,replace_cost,replace_cost_flag,lifetime,lifetime_flag,year_laid,year_laid_flag,pipe_class,pipe_class_flag,asset_id,asset_id_flag,user_text_30,user_text_30_flag,user_text_35,user_text_35_flag,user_text_40,user_text_40_flag
WCC,IF,INUS,CONF,WWRM,CONF,200,CONF,200,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,60.995,#D,20448.02,OP14,32075.32,OP14,80,OP14,1/01/1985,CONF,,,WWP017541,IN,PS27,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,530,CONF,530,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,15.663,#D,1052.17,OP14,17465.99,OP14,83,OP14,1/01/1936,CONF,,,WWP017542,IN,PS05 PS06 PS07,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,200,CONF,200,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,6.038,#D,1230.39,OP14,3175.19,OP14,80,OP14,1/01/1965,CONF,,,WWP017543,IN,PS27,RMCO,1,,,
WCC,IF,INUS,CONF,WWRM,CONF,200,CONF,200,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,51.059,#D,8055.09,OP14,26850.3,OP14,70,OP14,1/01/1965,JB,D,CONF,WWP017544,IN,PS27,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,200,CONF,200,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,30.465,#D,4806.17,OP14,16020.57,OP14,70,OP14,1/01/1965,JB,D,CONF,WWP017545,IN,PS27,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,200,CONF,200,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,83.5,#D,13173.,OP14,43909.99,OP14,70,OP14,1/01/1965,JB,D,CONF,WWP017546,IN,PS27,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,200,CONF,200,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,13.709,#D,2162.74,OP14,7209.13,OP14,70,OP14,1/01/1965,JB,D,CONF,WWP017547,IN,PS27,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,200,CONF,200,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,2.791,#D,568.73,OP14,1467.7,OP14,80,OP14,1/01/1965,JB,,,WWP017548,IN,PS27,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,200,CONF,200,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,122.371,#D,19305.3,OP14,64351.01,OP14,70,OP14,1/01/1965,JB,D,CONF,WWP017549,IN,PS27,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,200,CONF,200,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,44.509,#D,7021.76,OP14,23405.86,OP14,70,OP14,1/01/1965,JB,D,CONF,WWP017550,IN,PS27,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,200,CONF,200,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,77.712,#D,12259.88,OP14,40866.26,OP14,70,OP14,4/01/1965,JB,D,CONF,WWP017551,IN,PS27,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,200,CONF,200,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,8.672,#D,1433.25,OP14,4560.33,OP14,70,OP14,1/01/1966,JB,D,CONF,WWP017552,IN,PS27,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,200,CONF,200,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,9.299,#D,1536.87,OP14,4890.05,OP14,70,OP14,1/01/1966,JB,D,CONF,WWP017553,IN,PS27,RMCO,1,,,
WCC,IF,INUS,CONF,WWRM,CONF,530,CONF,530,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,102.039,#D,6382.63,OP14,105951.64,OP14,83,OP14,1/01/1936,CONF,,,WWP017554,IN,PS05 PS06 PS07,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,530,CONF,530,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,118.373,#D,7389.64,OP14,122667.95,OP14,83,OP14,1/01/1936,CONF,,,WWP017555,IN,PS05 PS06 PS07,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,300,CONF,300,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,38.348,#D,6722.03,OP14,26141.21,OP14,70,OP14,1/01/1962,CONF,,,WWP017556,IN,PS07,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,150,CONF,150,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,12.949,#D,2733.55,OP14,5798.44,OP14,70,OP14,1/01/1977,CONF,,,WWP018215,IN,PS61,RMCO,0,,,
WCC,ASB,INUS,ASB,WWRM,ASB,450,HARM,450,#D,CONC,HARM,CONC,#D,,#D,,#D,,#D,,#D,365.258,#D,81779.58,OP14,163559.15,OP14,100,OP14,1/01/1955,HARM,,,WWP039420,IN,PS23,RMCO,0,,,
WCC,IF,INUS,CSEA,WWRM,CSEA,100,ASB,100,#D,HDPE,ASB,HDPE,#D,,#D,,#D,,#D,,#D,3.689,#D,681.73,OP14,1363.46,OP14,80,OP14,1/01/1975,HARM,,,WWP039872,,PS13,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,600,HARM,600,#D,RCON,HARM,RCON,#D,,#D,,#D,,#D,,#D,22.123,#D,7528.92,OP14,9906.47,OP14,100,OP14,1/01/1990,CONF,,,WWP019090,IN,PS58,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,50,CONF,50,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,36.109,#D,7362.91,OP14,10518.45,OP14,80,OP14,1/01/1990,CONF,,,WWP019092,IN,PS57,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,50,CONF,50,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,19.085,#D,4259.64,OP14,6085.2,OP14,80,OP14,1/01/1990,CONF,,,WWP019095,IN,PS51,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,50,CONF,50,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,31.498,#D,6422.69,OP14,9175.27,OP14,80,OP14,1/01/1990,CONF,,,WWP019098,IN,PS53,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,150,JB,150,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,31.897,#D,9819.69,OP14,14283.18,OP14,80,OP14,1/01/1989,CONF,,,WWP019099,IN,PS52,RMCO,3,,,
WCC,IF,INUS,CONF,WWRM,CONF,50,CONF,50,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,58.44,#D,11916.38,OP14,17023.4,OP14,80,OP14,1/01/1990,CONF,,,WWP019103,IN,PS54,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,50,CONF,50,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,42.,#D,8564.13,OP14,12234.48,OP14,80,OP14,1/01/1990,CONF,,,WWP019106,IN,PS55,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CSEA,100,CSEA,100,#D,uPVC,CSEA,uPVC,#D,,#D,,#D,,#D,,#D,22.796,#D,4212.71,OP14,8425.41,OP14,80,OP14,1/01/1975,HARM,,,WWP019109,IN,PS66,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CSEA,100,CSEA,100,#D,uPVC,CSEA,uPVC,#D,,#D,,#D,,#D,,#D,10.021,#D,1851.88,OP14,3703.77,OP14,80,OP14,1/01/1975,HARM,,,WWP019110,IN,PS66,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CSEA,100,HARM,100,#D,uPVC,CSEA,uPVC,#D,,#D,,#D,,#D,,#D,18.839,#D,4217.96,OP14,8435.93,OP14,100,OP14,1/01/1955,HARM,,,WWP019111,IN,PS66,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CSEA,100,#D,100,INM,uPVC,CSEA,PVC,INM,,#D,,#D,,#D,,#D,11.427,#D,2557.78,OP14,5115.56,OP14,100,OP14,1/01/1955,HARM,,,WWP019112,IN,PS66,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,160,KOKE,160,#D,HPPE,KOKE,HPPE,#D,,#D,,#D,,#D,,#D,211.575,#D,47370.66,OP14,94741.33,OP14,100,OP14,1/01/1955,HARM,,,WWP033921,IN,PS36,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,667,CONF,667,#D,ST,MSIM,ST,#D,,#D,,#D,,#D,,#D,89.994,#D,73099.89,OP14,112461.36,OP14,60,OP14,1/01/1993,CONF,,,WWP019638,IN,PS38,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,667,CONF,667,#D,ST,MSIM,ST,#D,,#D,,#D,,#D,,#D,149.988,#D,121831.52,OP14,187433.11,OP14,60,OP14,1/01/1993,CONF,,,WWP019639,IN,PS38,RMCO,0,,,
WCC,CSEA,INUS,CSEA,WWRM,CSEA,150,ASB,150,#D,CI,ASB,CI,#D,,#D,,#D,,#D,,#D,245.647,#D,54999.23,OP14,109998.45,OP14,70,OP14,1/01/1985,HARM,,,WWP039834,,PS34,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,100,CONF,100,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,3.602,#D,155.13,OP14,987.2,OP14,70,OP14,1/01/1955,CONF,,,WWP019895,IN,PS33,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,100,CONF,100,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,291.594,#D,17128.57,OP14,108999.96,OP14,70,OP14,1/01/1955,CONF,,,WWP019896,IN,PS33,RMCO,1,,,
WCC,IF,INUS,CONF,WWRM,CONF,350,CONF,350,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,5.442,#D,3202.9,OP14,4132.78,OP14,80,OP14,1/01/1996,CONF,SDR17,,WWP020492,IN,PS26,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,350,CONF,350,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,2.626,#D,997.12,OP14,1994.24,OP14,80,OP14,1/01/1975,HARM,SDR17,,WWP020493,IN,PS26,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,350,CONF,350,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,49.286,#D,18714.44,OP14,37428.88,OP14,80,OP14,1/01/1975,HARM,SDR17,,WWP020495,IN,PS26,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,350,CONF,350,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,2.169,#D,1523.65,OP14,1647.19,OP14,80,OP14,1/01/2008,JB,SDR17,,WWP020496,IN,PS26,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,350,CONF,350,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,1.753,#D,1231.42,OP14,1331.27,OP14,80,OP14,1/01/2008,JB,SDR17,,WWP020497,IN,PS26,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,315,CONF,315,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,11.84,#D,7095.29,OP14,8347.4,OP14,80,OP14,1/01/2002,JB,SDR17,,WWP020502,IN,PS26,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,315,CONF,315,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,6.102,#D,3656.71,OP14,4302.01,OP14,80,OP14,1/01/2002,JB,SDR17,,WWP020503,IN,PS26,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,315,CONF,315,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,57.397,#D,37430.93,OP14,40465.87,OP14,80,OP14,1/01/2008,JB,SDR17,,WWP020504,IN,PS26,RMCO,1,,,
WCC,IF,INUS,CONF,WWRM,CONF,150,CONF,150,#D,HPPE,KOKE,HPPE,#D,,#D,,#D,,#D,,#D,66.862,#D,14970.09,OP14,29940.19,OP14,100,OP14,1/01/1955,HARM,,,WWP020562,IN,PS36,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,225,CONF,225,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,10.546,#D,2978.53,OP14,5957.06,OP14,70,OP14,1/01/1985,HARM,,,WWP020578,IN,PS10,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,225,CONF,225,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,29.498,#D,8331.19,OP14,16662.37,OP14,70,OP14,1/01/1985,HARM,,,WWP020580,IN,PS10,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,225,CONF,225,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,12.299,#D,3473.63,OP14,6947.27,OP14,70,OP14,1/01/1985,HARM,,,WWP020581,IN,PS10,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,225,CONF,225,#D,CI,JB,CI,#D,,#D,,#D,,#D,,#D,14.999,#D,4236.2,OP14,8472.4,OP14,70,OP14,1/01/1985,HARM,,,WWP020582,IN,PS10,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,225,CONF,225,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,8.72,#D,2462.81,OP14,4925.62,OP14,70,OP14,1/01/1985,HARM,,,WWP020583,IN,PS10,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,225,CONF,225,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,10.046,#D,2837.31,OP14,5674.63,OP14,70,OP14,1/01/1985,HARM,,,WWP020584,IN,PS10,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,225,CONF,225,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,182.721,#D,51606.29,OP14,103212.59,OP14,70,OP14,1/01/1985,HARM,,,WWP020585,IN,PS10,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,300,CONF,300,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,33.676,#D,5903.07,OP14,22956.38,OP14,70,OP14,1/01/1962,CONF,,,WWP020592,IN,PS07,RMCO,0,,,
WCC,ASB,INUS,ASB,WWRM,ASB,275,WWST,275,#D,PE,WWST,PE,#D,,#D,,#D,,#D,,#D,919.594,#D,268252.41,OP14,536504.81,OP14,100,OP14,1/01/1955,HARM,,,WWP039445,IN,PS16,RMCO,0,,PS16,RMCO
WCC,IF,INUS,CONF,WWRM,CONF,667,CONF,667,#D,ST,MSIM,ST,#D,,#D,,#D,,#D,,#D,19.999,#D,16244.69,OP14,24991.83,OP14,60,OP14,1/01/1993,CONF,,,WWP020803,IN,PS38,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,667,CONF,667,#D,ST,MSIM,ST,#D,,#D,,#D,,#D,,#D,46.349,#D,37648.14,OP14,57920.21,OP14,60,OP14,1/01/1993,CONF,,,WWP020806,IN,PS38,RMCO,0,,,
WCC,IF,INUS,ASB,WWRM,ASB,300,ASB,300,#D,HDPE,ASB,HDPE,#D,,#D,,#D,,#D,,#D,5.451,#D,1857.93,OP14,3715.86,OP14,80,OP14,1/01/1975,HARM,,,WWP039959,,PS11,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CSEA,110,,110,INM,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,0.912,#D,289.83,OP14,386.44,OP14,80,OP14,5/05/1994,CONF,SDR17,,WWP020999,IN,PS32,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CSEA,110,,110,INM,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,0.912,#D,12.43,OP14,16.57,OP14,80,OP14,5/05/1994,CONF,SDR17,,WWP039854,CSEA,PS32,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,250,CONF,250,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,29.434,#D,12663.41,OP14,17773.2,OP14,80,OP14,1/01/1991,CONF,SDR11,,WWP030512,IN,PS46,RMCO,2,,,
